tweet;class1;classification
@corinnamilborn Liebe Corinna, wir würden dich gerne als Moderatorin für uns gewinnen! Wärst du begeisterbar?;0;0
@Martin28a Sie haben ja auch Recht. Unser Tweet war etwas missverständlich. Dass das BVerfG Sachleistungen nicht ausschließt, kritisieren wir.;0;0
@ahrens_theo fröhlicher gruß aus der schönsten stadt der welt theo ⚓️;0;0
@dushanwegner Amis hätten alles und jeden gewählt...nur Hillary wollten sie nicht und eine Fortsetzung von Obama-Politik erst recht nicht..!;0;0
@spdde kein verläßlicher Verhandlungspartner. Nachkarteln nach den Sondierzngsgesprächen - schickt diese Stümper #SPD in die Versenkung.;1;1
@Dirki_M Ja, aber wo widersprechen die Zahlen denn denen, die im von uns verlinkten Artikel stehen? In unserem Tweet geht es rein um subs. Geschützte. 2017 ist der gesamte Familiennachzug im Vergleich zu 2016 - die Zahlen, die Hr. Brandner bemüht - übrige;0;0
@milenahanm 33 bis 45 habe ich noch gar nicht gelebt und es geht mir am Arsch vorbei was in dieser Zeit geschehen ist. Ich lebe im heute und jetzt und nicht in der Vergangenheit.;1;1
@jayxderxmensch @jayxthexhuman Wieso? Was findest du da unklar?;0;0
@tagesschau Euere AfD Hetze wirkt. Da könnt ihr stolz sein bei #ARD-Fernsehen;1;1
"Deutsche Medien, Halbwahrheiten und einseitige Betrachtung, wie bei allen vom Staat finanzierten ""billigen"" Propagandainstitutionen 😜";1;1
@AJCBerlin @AuswaertigesAmt Er hat heute morgen auch Schäuble getroffen. Das ist einfach nur unfassbar;0;0
@Ralf_Stegner Oman Ralle..dich mag ja immer noch keiner. Du willst das die Hetze gegen dich aufhört? |LBR| Geh in Rente und verzichte auf die 1/2deiner Pension;1;1
Klausurtagung der CSU hat eher Fragezeichen vermehrt, ob Union die Kraft hat, die erforderlichen Veränderungen von Europa bis Digitalisierung, bei Arbeit und Rente, bei Bildung und Familie, bei Gesundheit und Wohnen, bei Pflege und Steuern, bei Integration etc. anzugehen.;0;0
Den Türken ist die Souveränität der Niederlande egal. Sie wollen dort |LBR| bestimmen. So geht das nicht. Ausweisen, wem das nicht passt.;0;0
"@L7250402 @RGutmensch Auweia. Es geht nicht darum, dass man uns ""toll"" finden muss. Aber man könnte zumindest versuchen zu verstehen, was wir machen und wie wir das finanzieren, bevor man einfach falsche Schlussfolgerungen zieht und diese schamlos verbrei";0;0
@DietmarBartsch @DJanecek Na, geht doch. Jetzt muss noch @SWagenknecht in einer Nachtsitzung Angela Merkel die Obergrenze abhandeln, dann kann Schwarz-Grün-Dunkelrot noch vor Weihnachten die Amtseide ablegen.;0;0
"Für mich ist der morgige Tag ein Tag der ""Größten Deutschen Schweinerei"" seit 1945, eine riesen Mogelpackung bekloppter Politiker🤢";1;1
@SteinbachErika Das lassen die 🇩🇪 nicht zu....und wenn sie gegen ihren eigenen Willen festgehalten werden... |LBR| Es ist leicht nach 🇩🇪einzureisen...aber raus?;0;0
@Steinhoefel Ich finde deutsche haben noch eine Chance verdient...auch wenn ich ein Teil meiner Landsleute nicht besonders mag, aber sie sollten nochmals wählen dürfen...!;0;0
#Dieselgipfel: Automobilindustrie muss Schadstoffe reduzieren – schnell, gesetzestreu, technisch sauber und transparent nachvollziehbar (2);0;0
@peter2018huber @YouTube Das sitzt die doch aus - Teflon-Merkel ist ihr Spitzname in der Schweiz - an der prallt alles ab.;0;0
@Beutebadener @LeggaKnoppers @KotzenderStern Was laberst du jetzt von.inzucht schau mal an was dein schönes multikulti mit Deutschland gemacht hat;0;0
@JensMeding Hast Du schon das Initiationritual hinter Dir?;0;0
Diese Woche hatten wir die Gelegenheit uns mit 4 kurdischen Bürgermeister*innen der HDP zu vernetzen! @LeylaImret @coban95;0;0
@DasErste Danke für die schnelle Info , aber eure Unterschlagungen von wichtigen Nachrichten in der Tagesschau machen euch zum Helfer von Terroristen in Deutschland.Bürger in Sicherheit wiegen die nicht vorhanden ist!;0;0
Du sollst keinen anderen Gott haben neben mir. Mal schauen wann Gottes Worte als Rassismus dargestellt werden.;0;0
@krippmarie Ich kenne noch einige Namen unter den SPDler die ebenfalls zu Grabe getragen müssten-sollten-werden....;1;1
Wir geben unsere Identität nicht auf. Bedenke das Ende bei all dieser Beliebigkeit. #islamfeiertag;0;0
@StephanJBauer @soskinderdorf Auch in Deutschland hungern Kinder.;0;0
@5junx Und hätten wir regiert und alle Zusagen gebrochen, dann wäre hier heute von Umfallen und Postengeilheit die Rede gewesen! 😂 #Beliebigkeit CL;0;0
#Trump ist als Politiker kein Schwätzer sondern handelt vom ersten Tag an. |LBR| Und geopolitisches Denken des letzten Jahrhunderts ist ihm fremd;0;0
In Abwandlung der Kanzler Worte sage ich: |LBR| CDU SPD-folgt diesen Leuten nicht, sie regieren schon immer und die Armutschere ist größer denn je;0;0
@ndaktuell Ach Gott mehr nicht,was gedenkt man dagegen zutun,nach dem GG dürfen nur Deutsche Staatsbürger protestieren .Was hier geschehen ist ,ist ein Aufstand von Radikalen Moslems ,da sage ich nur einsammeln und Heimschicken!;1;1
